Name	cvss	description	detection_method	detection_result	http_info	identification	impact	insight	log_method	plugin	port	product_detection_result	protocol	references	severity	solution	source
SMTP too long line	[7.5, None, None, None, None, None, None]	['Some antivirus scanners dies when they process an email with a too long string without line breaks.', 'Such a message was sent. If there is an antivirus on your MTA, it might have crashed. Please check its status right now, as it is not possible to do it remotely.']	['Details: SMTP too long line', 'OID:1.3.6.1.4.1.25623.1.0.11270', 'Version used: $Revision: 13470 $']	['Vulnerability was detected according to the Vulnerability Detection Method.']	[]	[]	[]	[]	[]	[]	25	[]	tcp	[]	HIGH	['Contact the vendor of the antivirus scanner to get an update.']	OPENVAS
OpenVAS / Greenbone Vulnerability Manager Default Credentials	[10.0, None, None, None, None, None, None]	['The remote OpenVAS / Greenbone Vulnerability Manager is installed/congured in a way that it has account(s) with default passwords enabled.']	['Try to login with default credentials via the OMP/GMP protocol.', 'Details: OpenVAS / Greenbone Vulnerability Manager Default Credentials', 'OID:1.3.6.1.4.1.25623.1.0.108554', 'Version used: $Revision: 13944 $']	['It was possible to login using the following credentials (username:password:role): admin:admin:Admin']	[]	[]	['This issue may be exploited by a remote attacker to gain access to sensitive information or modify system conguration.']	['It was possible to login with default credentials: admin/admin, sadmin/changeme, observer/observer or admin/openvas.']	[]	[]	9390	['cpe:/a:openvas:openvas_manager:7.0', 'Product: cpe:/a:openvas:openvas_manager:7.0', 'Method: OpenVAS / Greenbone Vulnerability Manager Detection', 'OID: 1.3.6.1.4.1.25623.1.0.103825']	tcp	[]	HIGH	['Change the password of the mentioned account(s).']	OPENVAS
SSL/TLS: Certicate Expired	[5.0, None, None, None, None, None, None]	"[""""The remote server's SSL/TLS certicate has already expired.""""]"	['Details: SSL/TLS: Certificate Expired', 'OID:1.3.6.1.4.1.25623.1.0.103955', 'Version used: $Revision: 11103 $']	['The certificate of the remote service expired on 2020-08-20 19:18:24.', 'Certificate details:', 'subject ...: C=DE,L=Osnabrueck,O=OpenVAS Users,CN=218ffb30ff7a', 'subject alternative names (SAN): None', 'issued by .: C=DE,L=Osnabrueck,O=OpenVAS Users,OU=Certificate Authority for 218ffb30ff7a', 'serial ....: 5B7C65801F8422EBBDAD2299', 'valid from : 2018-08-21 19:18:24 UTC', 'valid until: 2020-08-20 19:18:24 UTC', 'fingerprint (SHA-1): 6B34D170BC2D0EAE4DB2D6122E2DA7E94F0ADF6F', 'fingerprint (SHA-256): A672ACF69BB0944271599E210BF04BF20736E3CCB5862FAF3EFAC987241BC4B9']	[]	[]	[]	['This script checks expiry dates of certicates associated with SSL/TLS-enabled services on the target and reports whether any have already expired.']	[]	[]	443	[]	tcp	[]	MEDIUM	['Replace the SSL/TLS certicate by a new one.']	OPENVAS
Check if Mailserver answer to VRFY and EXPN requests	[5.0, None, None, None, None, None, None]	['The Mailserver on this host answers to VRFY and/or EXPN requests.']	['Details: Check if Mailserver answer to VRFY and EXPN requests', 'OID:1.3.6.1.4.1.25623.1.0.100072', 'Version used: $Revision: 13470 $']	"[""""'VRFY root' produces the following answer: 252 2.0.0 root""""]"	[]	[]	[]	['VRFY and EXPN ask the server for information about an address. They are inherently unusable through rewalls, gateways, mail exchangers for part-time hosts, etc.']	[]	[]	25	[]	tcp	['http://cr.yp.to/smtp/vrfy.html']	MEDIUM	"['Disable VRFY and/or EXPN on your Mailserver.', """"For postx add 'disable_vrfy_command=yes' in 'main.cf'."""", """"For Sendmail add the option 'O PrivacyOptions=goaway'."""", 'It is suggested that, if you really want to publish this type of information, you use a mechanism that legitimate users actually know about, such as Finger or HTTP.']"	OPENVAS
SSL/TLS: Certicate Expired	[5.0, None, None, None, None, None, None]	"[""""The remote server's SSL/TLS certicate has already expired.""""]"	['Details: SSL/TLS: Certificate Expired', 'OID:1.3.6.1.4.1.25623.1.0.103955', 'Version used: $Revision: 11103 $']	['The certificate of the remote service expired on 2020-08-20 19:18:24.', 'Certificate details:', 'subject ...: C=DE,L=Osnabrueck,O=OpenVAS Users,CN=218ffb30ff7a', 'subject alternative names (SAN): None', 'issued by .: C=DE,L=Osnabrueck,O=OpenVAS Users,OU=Certificate Authority for 218ffb30ff7a', 'serial ....: 5B7C65801F8422EBBDAD2299', 'valid from : 2018-08-21 19:18:24 UTC', 'valid until: 2020-08-20 19:18:24 UTC', 'fingerprint (SHA-1): 6B34D170BC2D0EAE4DB2D6122E2DA7E94F0ADF6F', 'fingerprint (SHA-256): A672ACF69BB0944271599E210BF04BF20736E3CCB5862FAF3EFAC987241BC4B9']	[]	[]	[]	['This script checks expiry dates of certicates associated with SSL/TLS-enabled services on the target and reports whether any have already expired.']	[]	[]	9390	[]	tcp	[]	MEDIUM	['Replace the SSL/TLS certicate by a new one.']	OPENVAS
CGI Scanning Consolidation	[0.0, None, None, None, None, None, None]	"['The script consolidates various information for CGI scanning.', 'This information is based on the following scripts / settings:', '- HTTP-Version Detection (OID: 1.3.6.1.4.1.25623.1.0.100034)', '- No 404 check (OID: 1.3.6.1.4.1.25623.1.0.10386)', '- Web mirroring / webmirror.nasl (OID: 1.3.6.1.4.1.25623.1.0.10662)', '- Directory Scanner / DDI_Directory_Scanner.nasl (OID: 1.3.6.1.4.1.25623.1.0.11032)', """"- The congured 'cgi_path' within the 'Scanner Preferences' of the scan cong in use"""", """"- The congured 'Enable CGI scanning', 'Enable generic web application scanning' and 'Add historic /scripts and /cgi-bin to directories for CGI scanning' within the 'Global variable settings' of the scan cong in use"""", 'If you think any of this information is wrong please report it to the referenced community portal.']"	['Details: CGI Scanning Consolidation', 'OID:1.3.6.1.4.1.25623.1.0.111038', 'Version used: $Revision: 13679 $']	"['The Hostname/IP """"localhost"""" was used to access the remote host.', 'Generic web application scanning is disabled for this host via the """"Enable generic web application scanning"""" option within the """"Global variable settings"""" of the scan config in use.', 'Requests to this service are done via HTTP/1.1.', 'This service seems to be NOT able to host PHP scripts.', 'This service seems to be NOT able to host ASP scripts.', 'The User-Agent """"Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)"""" was used to access the remote host.', 'Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the """"Add historic /scripts and /cgi-bin to directories for CGI scanning"""" option within the """"Global variable settings"""" of the scan config in use.', 'The following directories were used for CGI scanning:', 'https://localhost/', 'While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards', 'The following directories were excluded from CGI scanning because the """"Regex pattern to exclude directories from CGI scanning"""" setting of the NVT """"Global variable settings"""" (OID: 1.3.6.1.4.1.25623.1.0.12288) for this scan was: """"/(index\\.php|image|img|css|js$|js/|javascript|style|theme|icon|jquery|graphic|grafik|picture|bilder|thumbnail|media/|skins?/)"""")', 'https://localhost/css', 'https://localhost/img', 'The following CGIs were discovered:', 'Syntax : cginame (arguments [default value])', 'https://localhost/omp (cmd [login] text [/omp?r=1] login [] password [] )']"	[]	[]	[]	[]	[]	[]	443	[]	tcp	['https://community.greenbone.net/c/vulnerability-tests']	LOG	[]	OPENVAS
Greenbone Security Assistant (GSA) Detection	[0.0, None, None, None, None, None, None]	['The script sends a connection request to the server and attempts to determine if it is a GSA from the reply.']	['Details: Greenbone Security Assistant (GSA) Detection', 'OID:1.3.6.1.4.1.25623.1.0.103841', 'Version used: $Revision: 13882 $']	"['Detected Greenbone Security Assistant', 'Version: 7.0.3', 'Location: /', 'CPE: cpe:/a:greenbone:greenbone_security_assistant:7.0.3', 'Concluded from version/product identification result:', '<span class=""""version"""">Version 7.0.3</span>']"	[]	[]	[]	[]	[]	[]		[]		[]	LOG	[]	OPENVAS
HTTP Security Headers Detection	[0.0, None, None, None, None, None, None]	['All known security headers are being checked on the host. On completion a report will hand back whether a specic security header has been implemented (including its value) or is missing on the target.']	['Details: HTTP Security Headers Detection', 'OID:1.3.6.1.4.1.25623.1.0.112081', 'Version used: $Revision: 10899 $']	"['Header Name Header Value', '----------- ------------', """"Content-Security-Policy : default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options : SAMEORIGIN', 'Missing Headers', '---------------', 'Referrer-Policy', 'X-Content-Type-Options', 'X-Permitted-Cross-Domain-Policies', 'X-XSS-Protection']"	[]	[]	[]	[]	[]	[]		[]		['https://www.owasp.org/index.php/OWASP_Secure_Headers_Project', 'https://www.owasp.org/index.php/OWASP_Secure_Headers_Project#tab=Headers', 'https://securityheaders.io/']	LOG	[]	OPENVAS
Services	[None, None, None, None, None, None, None]	['This routine attempts to guess which service is running on the remote ports. For instance, it searches for a web server which could listen on another port than 80 or 443 and makes this information available for other check routines.']	[]	['A TLScustom server answered on this port', 'A web server is running on this port through SSL', 'An SMTP server is running on this port', 'Here is its banner : 220 9c89ef55d1a6.localdomain ESMTP Postfix']	[]	[]	[]	[]	['Details: Services', 'OID:1.3.6.1.4.1.25623.1.0.10330', 'Version used: $Revision: 13541 $']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Collect and Report Certicate Details	[None, None, None, None, None, None, None]	['This script collects and reports the details of all SSL/TLS certicates. This data will be used by other tests to verify server certicates.']	[]	['The following certificate details of the remote service were collected.', 'Certificate details:', 'subject ...: C=DE,L=Osnabrueck,O=OpenVAS Users,CN=218ffb30ff7a', 'subject alternative names (SAN): None', 'issued by .: C=DE,L=Osnabrueck,O=OpenVAS Users,OU=Certificate Authority for 218ffb30ff7a', 'serial ....: 5B7C65801F8422EBBDAD2299', 'valid from : 2018-08-21 19:18:24 UTC', 'valid until: 2020-08-20 19:18:24 UTC', 'fingerprint (SHA-1): 6B34D170BC2D0EAE4DB2D6122E2DA7E94F0ADF6F', 'fingerprint (SHA-256): A672ACF69BB0944271599E210BF04BF20736E3CCB5862FAF3EFAC987241BC4B9']	[]	[]	[]	[]	['Details: SSL/TLS: Collect and Report Certificate Details', 'OID:1.3.6.1.4.1.25623.1.0.103692', 'Version used: $Revision: 13434 $']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: HTTP Public Key Pinning (HPKP) Missing	[None, None, None, None, None, None, None]	['The remote web server is not enforcing HPKP.']	[]	"['The remote web server is not enforcing HPKP.', 'HTTP-Banner:', 'HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	"['HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	[]	[]	[]	['Details: SSL/TLS: HTTP Public Key Pinning (HPKP) Missing', 'OID:1.3.6.1.4.1.25623.1.0.108247', 'Version used: $Revision: 7391 $']	[]		[]		['https://www.owasp.org/index.php/OWASP_Secure_Headers_Project', 'https://www.owasp.org/index.php/OWASP_Secure_Headers_Project#hpkp', 'https://tools.ietf.org/html/rfc7469', 'https://securityheaders.io/']	LOG	['Enable HPKP or add / congure the required directives correctly following the guides linked in the references.']	OPENVAS
SSL/TLS: HTTP Strict Transport Security (HSTS) Missing	[None, None, None, None, None, None, None]	['The remote web server is not enforcing HSTS.']	[]	"['The remote web server is not enforcing HSTS.', 'HTTP-Banner:', 'HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	"['HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	[]	[]	[]	['Details: SSL/TLS: HTTP Strict Transport Security (HSTS) Missing', 'OID:1.3.6.1.4.1.25623.1.0.105879', 'Version used: $Revision: 7391 $']	[]		[]		['https://www.owasp.org/index.php/OWASP_Secure_Headers_Project', 'https://www.owasp.org/index.php/HTTP_Strict_Transport_Security_Cheat_Sheet', 'https://www.owasp.org/index.php/OWASP_Secure_Headers_Project#hsts', 'https://tools.ietf.org/html/rfc6797', 'https://securityheaders.io/']	LOG	['Enable HSTS or add / congure the required directives correctly following the guides linked in the references.']	OPENVAS
SSL/TLS: Perfect Forward Secrecy Cipher Suites Missing	[None, None, None, None, None, None, None]	['The remote service is missing support for SSL/TLS cipher suites supporting Perfect Forward Secrecy.']	[]	['The remote service does not support perfect forward secrecy cipher suites.']	[]	[]	[]	[]	['Details: SSL/TLS: Perfect Forward Secrecy Cipher Suites Missing', 'OID:1.3.6.1.4.1.25623.1.0.105092', 'Version used: $Revision: 4736 $']	[]		[]		[]	LOG	[]	OPENVAS
